,true_f,true_p,p
12482,0.4381076053767592,7.4465289392995725e+87,87.8719538816353
12483,0.43814270171621095,3.7754769202668627e+87,87.57697181974207
12484,0.43817779805566276,1.6104763043499878e+88,88.20695433923596
12485,0.43821289439511457,4.0602648797741827e+89,89.60855436659983
12486,0.43824799073456633,1.3077895742241035e+90,90.11653787081923
12487,0.43828308707401814,1.1293911980980914e+90,90.05284439874323
12488,0.43831818341346995,2.693297680273712e+89,89.43028435703405
12489,0.4383532797529217,3.986775569580574e+88,88.60062178829943
12490,0.4383883760923735,7.345520379708883e+86,86.86602256799975
12491,0.43842347243182533,4.5764073496508986e+84,84.66052467440208
12492,0.43845856877127715,7.378631953113383e+83,83.86797584823378
12493,0.4384936651107289,4.474193582923879e+85,85.65071477059138
12494,0.4385287614501807,9.395330496489672e+86,86.9729120617412
12495,0.4385638577896325,8.500970823946866e+86,86.92946852564454
12496,0.4385989541290843,2.213764485642968e+85,85.34513141598886
